id,name,type,lat,lon,status_lokasi,contact_number
4f3aeef5-4aea-4266-91d4-97393876e49d,RS Bhakti Mulia,HOSPITAL,-6.1995786,106.8006181,Buka 24 Jam,
05d633c6-b603-4fdd-a4de-9f0f50fb177d,Kantor Pos Polisi Penggilingan,POLICE_STATION,-6.2033288,106.9325223,Buka 24 Jam,
2d574e51-2f43-4403-a9d2-59f05e3f4682,Rumah Sakit Ibu dan Anak Resti Mulya,HOSPITAL,-6.2087559,106.941783,Buka 24 Jam,
113d3679-281d-43ce-a0af-825e9ea07616,RSUD Mampang Prapatan,HOSPITAL,-6.2404906,106.8270049,Buka 24 Jam,
7e173d71-c9bb-46c3-b3cb-bac23583fd1b,Markas Besar Kepolisian Negara RI,POLICE_STATION,-6.2439345,106.855072,Buka 24 Jam,
6c442a69-9b34-4608-91e9-33cad6bbeb5d,Pos Polisi Senopati,POLICE_STATION,-6.2333955,106.8127927,Buka 24 Jam,
718e6fde-52e1-4ae7-9c4f-7d58b4bc585f,Rumah Sakit Khusus Bedah Halimun,HOSPITAL,-6.2062282,106.8340331,Buka 24 Jam,
95176c3e-ac10-4c86-aa9f-752824e37d4d,Pos Polisi Bukit Duri,POLICE_STATION,-6.2167269,106.8628062,Buka 24 Jam,
ae673531-69a0-41ff-80be-fd65bc51de98,Rumah Bersalin Budi Kemuliaan,HOSPITAL,-6.2103297,106.8351386,Buka 24 Jam,
4cb93806-b143-4381-b8a7-9f36373df23d,Polsek Tebet,POLICE_STATION,-6.2313189,106.8464301,Buka 24 Jam,
377f68d4-e9d2-41a2-a39a-d7cbf6a45990,Rumah Sakit Umum Kecamatan Tebet,HOSPITAL,-6.2316306,106.8466818,Buka 24 Jam,
32ff058f-4c18-44da-ae96-a1fcfaddd1eb,POSPOL TMP kalibata,POLICE_STATION,-6.2533798,106.8472398,Buka 24 Jam,
65fc32b9-6a45-41d8-9e27-3ba406f545e5,Polsek Pasar Minggu,POLICE_STATION,-6.2857923,106.8420923,Buka 24 Jam,
1b0ae775-5de7-4d5a-b8c0-e070b577e207,Polsek Matraman,POLICE_STATION,-6.1993568,106.8544251,Buka 24 Jam,
d2b5794c-1568-4c07-b265-26a016fd4eef,Rumah Sakit Rawamangun,HOSPITAL,-6.1963359,106.8854695,Buka 24 Jam,
53961d48-854a-4673-85d5-cef6ecd9b50d,Rumah Sakit Mayapada Kuningan,HOSPITAL,-6.2185187,106.8318722,Buka 24 Jam,
8d2803a3-5a23-4720-b6da-356c3be59d7d,Polres Metro Bekasi Sektor Jati Asih,POLICE_STATION,-6.2934419,106.9597032,Buka 24 Jam,
b41e6327-8eda-4464-b3f4-68e50e0805e8,Pertamina,GAS_STATION,-6.1266075,106.8034675,Buka,
38f5a237-cfb1-46b9-ae92-34a19f1be1fb,SPBU 31.107.01,GAS_STATION,-6.1492294,106.8384995,Buka,
e1f9e180-ffd5-48f0-845b-503c6e2b370a,Polsek Kawasan Muara Baru,POLICE_STATION,-6.1087328,106.8020384,Buka 24 Jam,
b67e118b-4125-45b6-8093-9d14da272502,Polsubsektor Ancol,POLICE_STATION,-6.1270294,106.843273,Buka 24 Jam,
1ddb66bd-7e5f-4850-a116-c8efe07dd1ab,Rumah Sakit Tria Dipa,HOSPITAL,-6.2508431,106.8419704,Buka 24 Jam,+62217993058
102ee209-6746-465e-aee1-0d560505debb,RS Mitra Keluarga Bekasi Timur,HOSPITAL,-6.2605573,107.0133208,Buka 24 Jam,+622189999222
db426052-9e5f-4aab-8636-583306bccfbe,RSUD dr. Chasbullah Abdul Majid Kota Bekasi,HOSPITAL,-6.24216,107.0015524,Buka 24 Jam,
6c287956-c1cf-412f-b3fb-c1d7e2630d54,Primaya Hospital,HOSPITAL,-6.2475249,106.9839607,Buka 24 Jam,
071f77fc-4ed2-4577-8221-dbcc9ecbff63,SPBU VIVO Jatibening,GAS_STATION,-6.2652482,106.9504496,Buka,
d0cb8848-14c8-4875-af20-997eb7c0dbee,POLSUBSEKTOR Kalibata,POLICE_STATION,-6.2553978,106.8453236,Buka 24 Jam,
514bc69e-08da-40ff-9058-27e53d886430,Gas Station Terdekat,GAS_STATION,-6.2337414,106.9656739,Buka,
6c097442-41bc-464b-95b0-79c38d6c6823,Pos Polisi RW 05,POLICE_STATION,-6.2537918,106.8512161,Buka 24 Jam,
78545e23-6ca6-43df-9b6c-c88a4a7016c4,RSU Kecamatan Cilincing,HOSPITAL,-6.1129911,106.926417,Buka 24 Jam,
2b8589e9-a246-4485-bd20-4db700eba8f7,Rumah Sakit Mekarsari,HOSPITAL,-6.2329764,107.0105954,Buka 24 Jam,
7ac77013-269c-4ad5-ae4d-6fd57580b817,Pertamina,GAS_STATION,-6.2421125,107.0150062,Buka,
f887e4af-d696-4526-9f49-45bf1e971848,Pertamina 34-17135,GAS_STATION,-6.2357182,107.0073898,Buka,
e6ae62eb-840d-46b0-b0cc-13669b14636d,SPBU 34-17106,GAS_STATION,-6.2380156,107.0009924,Buka 24 Jam,+62 21 884 2821
781cd637-4830-41f2-8870-a00350267997,Pertamina,GAS_STATION,-6.2498179,107.0000144,Buka,+62 8835 4533
b9ffa11c-aebe-4abe-8f71-d8cc38de69fb,Pos Polisi Pasar Ikan,POLICE_STATION,-6.1272027,106.808984,Buka 24 Jam,
db035f74-0ef4-431e-baec-e010d2d32950,SPBU 34-17124,GAS_STATION,-6.2611408,107.0007425,Buka,
26526550-f304-4a73-a8f4-7fe657c42dcc,SPBU 34-17126,GAS_STATION,-6.269459,107.0428504,Buka,+62 21 7917 3000
3858a364-603c-4d9e-94ba-aa7f4a55ef5f,Rumah Sakit Umum & Pekerja,HOSPITAL,-6.1455012,106.923865,Buka 24 Jam,+62 21 2948 4848
b5bcb206-8814-4b83-ae17-1b264dc58d71,SPBU 34-12806,GAS_STATION,-6.2384592,106.8442488,Buka 24 Jam,
65ab0c8c-71a9-4641-a8ac-01963406be1b,Pertamina,GAS_STATION,-6.253108,107.0232175,Buka,+62 882 3686
4d3e002b-857f-48bb-b60e-93afe41f7e87,Pertamina,GAS_STATION,-6.2581591,106.9940432,Buka 24 Jam,
26a6b51f-ad60-41f7-84f4-cbdd95b99e19,Shell Ahmad Yani-1 BKS,GAS_STATION,-6.2485694,106.9927278,Buka,+62218844870
c7bc8599-32cf-49a8-9587-fc027dec379c,Shell,GAS_STATION,-6.3287653,107.1290361,Buka 24 Jam,+62 21 8990 6770
e86816fd-34fd-4de3-8c2c-2b3d084a0259,SPBU Pertamina 31.171.01,GAS_STATION,-6.2509672,106.9921626,Buka 24 Jam,
31b16976-a7e5-4242-a2b9-46cab54d178e,SPBU 34-17541,GAS_STATION,-6.2761302,107.0620363,Buka,
0a570405-6e2c-4c01-9d27-289b2dd9de46,Pertamina,GAS_STATION,-6.292511,107.0794058,Buka,+62 21 898 1044
2d642acf-41ec-43ab-badf-a8cc9c6ab7ff,Pertamina,GAS_STATION,-6.3301687,107.1297291,Buka,+62 21 8990 8037
2319dc37-9089-407d-a5f0-5bab21a67472,Pertamina,GAS_STATION,-6.2591285,107.0145247,Buka 24 Jam,
65eaeb7c-3fdd-4334-9ffd-9edffb7b7b82,SPBU 34-17114,GAS_STATION,-6.2619223,106.9987383,Buka 24 Jam,+62 821 4142
a8599149-a5ed-46ea-a468-cdca21d80874,SPBU 34-17102,GAS_STATION,-6.2606184,106.9952648,Buka,
60b9479c-3c4c-4f4c-8ec4-4105e5c5258f,Pertamina,GAS_STATION,-6.256913,106.9884226,Buka,
a5dd5910-83c1-4213-9daa-6bdf38e3552f,SPBU,GAS_STATION,-6.2860023,107.1589882,Buka,
abedd888-d1c6-472b-bf58-596576218c66,SPBU,GAS_STATION,-6.2769466,107.2753259,Buka,
8e561bdb-2c72-43cc-9fd8-0ef26a1926a0,Kantor Polisi Tamansari,POLICE_STATION,-6.1509712,106.8232199,Buka 24 Jam,
24e548e9-1139-4958-a058-20c514cf941b,Polsek Bekasi Selatan,POLICE_STATION,-6.2672356,106.9753369,Buka 24 Jam,
00b2157a-d657-4572-8c93-12aa3a92185a,Pertamina 34-17105,GAS_STATION,-6.2789544,106.9728138,Buka,
44cee56e-bbc0-4463-8840-134113e533d6,Pertamina 34.174.17,GAS_STATION,-6.2874806,106.9683299,Buka,
46e6408c-1c1f-4833-9285-2c2271dff094,Pertamina 34 171 43,GAS_STATION,-6.2593391,106.9592399,Buka,
2a0445d1-87ce-41dd-a9f0-181c689f85a2,Pertamina 34.17145,GAS_STATION,-6.2707806,106.9936983,Buka 24 Jam,
d6f3b6dd-ba6d-493b-88dd-cfc97bb9e58f,SPBU,GAS_STATION,-6.2428374,107.0277401,Buka,
058d436e-7c73-466e-a2d6-4da72aab3d2e,Police Station Terdekat,POLICE_STATION,-6.0984115,106.9568792,Buka 24 Jam,
fb1d8efb-1947-4f1c-b0c9-bfeed31f2e3e,BP,GAS_STATION,-6.3041334,106.8434821,Buka,
f6c17fdd-060b-4330-afca-7b1ddd480190,Polsek Bantar Gebang,POLICE_STATION,-6.3135136,106.9867404,Buka 24 Jam,
922f7c88-e405-4679-950d-4b5013b2c8ef,Rumah Sakit Elisabeth,HOSPITAL,-6.2760904,106.9910962,Buka 24 Jam,
07b772f2-838f-4a1d-8239-221c0760969a,Rumah Sakit Rawalumbu,HOSPITAL,-6.2806855,106.9989585,Buka 24 Jam,
11a27097-6918-4479-9a62-791049be129c,Pertamina,GAS_STATION,-6.3485189,107.2058052,Buka,
84f8e637-b800-40dc-9103-0e0b98843a65,Pertamina,GAS_STATION,-6.3474474,107.2045382,Buka,
337c462e-10cb-4e16-8e22-c7121751fb99,Polsek Rawalumbu,POLICE_STATION,-6.2780098,106.9914773,Buka 24 Jam,
3659ed42-a571-4043-b1ab-b658fdf8187f,RS Jantung Jakarta,HOSPITAL,-6.2001801,106.8553878,Buka 24 Jam,
a14256d0-4c28-4d10-bba6-c1804a612d5a,Pertamina,GAS_STATION,-6.1353901,107.0559502,Buka,
3bbf42d7-6d46-4355-a0b8-74ba35cd933b,Pertamina,GAS_STATION,-6.1931408,106.8762007,Buka,
